instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,first_r_first_single_0.2,first_r_first_single_0.4,first_r_first_single_0.6,first_r_first_single_0.8,first_r_first_global_0.2,first_r_first_global_0.4,first_r_first_global_0.6,first_r_first_global_0.8,first_r_last_single_0.2,first_r_last_single_0.4,first_r_last_single_0.6,first_r_last_single_0.8,first_r_last_global_0.2,first_r_last_global_0.4,first_r_last_global_0.6,first_r_last_global_0.8,status
layered_medium_seed1,layered,medium,1,0,3,off_off,0,0,10276,5,0.3333,"(l2,l7,tr2)",0.8,"(l5,l8,tr2,k2)",0.8,"(l5,l8,tr2,k2)",p3,7,16,0.4,0.6,0.7,0.8,0.0333,0.2,0.2667,0.5333,0.4,0.5333,0.6333,0.8,0.0333,0.1667,0.3667,0.6,0.4333,0.6333,0.7,0.8,0.0333,0.2333,0.4,0.5667,False,100.017,[],10276,7994,2282,False,100.012,[],0.055,20844,0.4,0.018,37,0.8,0.8,16,15,20844,8634,0.4,0.4667,0.4667,0.5333,0.0,0.0333,0.0667,0.3,0.5,0.5333,0.5333,0.5333,0.0333,0.1667,0.2333,0.3667,0.4,0.5,0.5333,0.5333,0.0,0.1667,0.3,0.5333,OK
layered_medium_seed1,layered,medium,1,0,3,hetero,1,0,10276,5,0.3333,"(l2,l7,tr2)",0.8333,"(l1,l5,tr2,k1)",0.8333,"(l1,l5,tr2,k1)",p3,2,12,0.4,0.5333,0.6667,0.8,0.0333,0.1667,0.3333,0.5333,0.4,0.5333,0.6667,0.8,0.0333,0.2333,0.3667,0.6333,0.4,0.5333,0.6667,0.8333,0.0667,0.2333,0.3667,0.4667,False,100.017,[],10276,7994,2282,False,100.017,[],0.055,20844,0.4,0.037,16,0.8,0.8,16,15,20844,8634,0.4,0.4667,0.4667,0.5333,0.0,0.0333,0.0667,0.3,0.5,0.5333,0.5333,0.5333,0.0333,0.1667,0.2333,0.3667,0.4,0.5,0.5333,0.5333,0.0,0.1667,0.3,0.5333,OK
layered_medium_seed1,layered,medium,1,0,3,conc,0,1,10276,5,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k6)",0.8,"(l2,l7,tr2,k6)",p1,8,14,0.4,0.4667,0.6333,0.7333,0.0333,0.1,0.2,0.3333,0.4,0.4667,0.7,0.7667,0.0333,0.1333,0.3667,0.4667,0.5,0.5667,0.7667,0.8333,0.0,0.1333,0.3333,0.5667,False,100.017,[],10276,9274,1002,False,100.016,[],0.055,20844,0.4,0.038,16680,0.8,0.8,16,15,20844,8634,0.4,0.4667,0.4667,0.5333,0.0,0.0333,0.0667,0.3,0.5,0.5333,0.5333,0.5333,0.0333,0.1667,0.2333,0.3667,0.4,0.5,0.5333,0.5333,0.0,0.1667,0.3,0.5333,OK
layered_medium_seed1,layered,medium,1,0,3,both,1,1,10276,5,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k9)",0.8,"(l2,l7,tr2,k9)",p1,6,16,0.4,0.4667,0.5667,0.7667,0.0333,0.1,0.2333,0.4667,0.4,0.5667,0.6667,0.8333,0.0667,0.2,0.4,0.5333,0.4,0.6,0.7333,0.7667,0.0667,0.2333,0.4667,0.6333,False,100.017,[],10276,9210,1066,False,100.132,[],0.055,20844,0.4,0.039,16696,0.8,0.8,16,15,20844,8634,0.4,0.4667,0.4667,0.5333,0.0,0.0333,0.0667,0.3,0.5,0.5333,0.5333,0.5333,0.0333,0.1667,0.2333,0.3667,0.4,0.5,0.5333,0.5333,0.0,0.1667,0.3,0.5333,OK
layered_medium_seed1,layered,medium,1,300,3,off_off,0,0,17036,0,0.6667,"(l2,l7,tr2)",0.8333,"(l5,l8,tr2,k2)",0.8333,"(l5,l8,tr2,k2)",p2,6,41,0.6667,0.7667,0.7667,0.8333,0.0333,0.1,0.3,0.3667,0.6667,0.7667,0.8,0.8333,0.0,0.1,0.3333,0.5,0.6667,0.7667,0.7667,0.8333,0.0,0.1667,0.2667,0.4,False,100.12,[],17036,13414,3622,False,100.014,[],0.126,22944,0.4,0.041,48,0.8,0.8,27,37,20844,14534,0.4,0.4,0.4,0.5667,0.0,0.0,0.1333,0.2667,0.4,0.4,0.4,0.5667,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.5667,0.0,0.0,0.1667,0.1667,OK
layered_medium_seed1,layered,medium,1,300,3,hetero,1,0,17036,0,0.6667,"(l2,l7,tr2)",0.8333,"(l5,l8,tr2,k3)",0.8333,"(l5,l8,tr2,k3)",p3,3,38,0.6667,0.7,0.7,0.8333,0.0333,0.1333,0.3,0.4333,0.6667,0.7667,0.8,0.8333,0.0,0.1667,0.3,0.4,0.6667,0.7667,0.8333,0.8667,0.0,0.1667,0.3667,0.5333,False,100.12,[],17036,13414,3622,False,100.017,[],0.126,22944,0.4,0.037,27,0.8,0.8,27,37,20844,14534,0.4,0.4,0.4,0.5667,0.0,0.0,0.1333,0.2667,0.4,0.4,0.4,0.5667,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.5667,0.0,0.0,0.1667,0.1667,OK
layered_medium_seed1,layered,medium,1,300,3,conc,0,1,17036,0,0.6667,"(l2,l7,tr2)",0.8,"(l4,l7,tr2,k4)",0.8,"(l4,l7,tr2,k4)",p1,15,37,0.6667,0.7,0.7333,0.8,0.0,0.0667,0.2333,0.3,0.6667,0.7,0.7333,0.8,0.0,0.0667,0.1667,0.4667,0.6667,0.7333,0.8333,0.8333,0.0,0.0667,0.4333,0.5,False,100.12,[],17036,13974,3062,False,100.024,[],0.126,22944,0.4,0.038,20848,0.8,0.8,27,37,20844,14534,0.4,0.4,0.4,0.5667,0.0,0.0,0.1333,0.2667,0.4,0.4,0.4,0.5667,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.5667,0.0,0.0,0.1667,0.1667,OK
layered_medium_seed1,layered,medium,1,300,3,both,1,1,17036,0,0.6667,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k2)",0.8,"(l2,l7,tr2,k2)",p2,11,38,0.6667,0.7,0.7333,0.7667,0.0,0.0667,0.2667,0.4,0.6667,0.7,0.7667,0.8,0.0,0.0333,0.3,0.4,0.6667,0.7333,0.7333,0.8,0.0333,0.0667,0.3333,0.4333,False,100.12,[],17036,14190,2846,False,100.015,[],0.126,22944,0.4,0.027,20875,0.8,0.8,27,37,20844,14534,0.4,0.4,0.4,0.5667,0.0,0.0,0.1333,0.2667,0.4,0.4,0.4,0.5667,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.5667,0.0,0.0,0.1667,0.1667,OK
layered_medium_seed1,layered,medium,1,500,3,off_off,0,0,18210,0,0.6667,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k4)",0.8,"(l2,l7,tr2,k4)",p3,5,52,0.6667,0.7,0.7333,0.8,0.0,0.0333,0.2333,0.4,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.3333,0.4333,0.6667,0.7,0.7333,0.8,0.0,0.0667,0.3333,0.4333,False,100.041,[],18210,12198,6012,False,100.024,[],0.119,24344,0.4,0.045,44,0.8,0.8,26,38,20844,13116,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1667,0.4,0.5333,0.5333,0.5333,0.0,0.0,0.1,0.3333,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1,OK
layered_medium_seed1,layered,medium,1,500,3,hetero,1,0,18210,0,0.6667,"(l2,l7,tr2)",0.8333,"(l2,l7,tr2,k5)",0.8333,"(l2,l7,tr2,k5)",p3,1,51,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.2333,0.4667,0.6667,0.7,0.8,0.8333,0.0,0.0667,0.3,0.4333,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.3333,0.4667,False,100.041,[],18210,12198,6012,False,100.015,[],0.119,24344,0.4,0.047,26,0.8,0.8,26,38,20844,13116,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1667,0.4,0.5333,0.5333,0.5333,0.0,0.0,0.1,0.3333,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1,OK
